,cust_identifier,tstamp,country_code,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10
91P6#AR#2021-02-17T09:08:15Z,91P6,2021-02-17T09:08:15Z,AR,1369417,3706073,8509991,9148007,2694324,1132849,2660030,482544,3620304,7412644
91FX#AR#2021-02-17T21:35:28Z,91FX,2021-02-17T21:35:28Z,AR,3284773,7544797,8781058,1076369,2941887,7113933,3720638,3445169,8841203,3471095
8XRM#AR#2021-02-17T21:27:08Z,8XRM,2021-02-17T21:27:08Z,AR,1085188,9245242,1982103,532939,3328737,7239583,627583,5466560,5282718,3950092
8VZ1#AR#2021-02-17T13:29:56Z,8VZ1,2021-02-17T13:29:56Z,AR,8013843,4571147,6571082,3234955,8252625,3907517,7878054,7416978,1366843,4237414
90QS#AR#2021-02-17T13:06:43Z,90QS,2021-02-17T13:06:43Z,AR,3034408,6376536,8284292,3664346,8016819,8207620,8064242,2551679,5866051,6528402
8XY8#AR#2021-02-17T10:10:37Z,8XY8,2021-02-17T10:10:37Z,AR,5344835,6218991,5186347,8166517,5355943,3633059,5093531,3418783,9427742,9133136
8Z19#AR#2021-02-17T02:05:40Z,8Z19,2021-02-17T02:05:40Z,AR,5972560,1259180,1191399,5025358,964713,2231321,309137,1982545,4796840,159455
8ZHC#AR#2021-02-17T03:02:09Z,8ZHC,2021-02-17T03:02:09Z,AR,342879,1216817,4263495,9651777,2731232,2131791,303853,2090201,7084817,7304423
8XNF#AR#2021-02-17T17:37:52Z,8XNF,2021-02-17T17:37:52Z,AR,650671,4491046,7678785,3561594,8226360,8121538,2239610,3281237,4295130,5315176
8YNX#AR#2021-02-17T05:09:04Z,8YNX,2021-02-17T05:09:04Z,AR,2638262,9222160,5147537,2931860,3560384,7153456,1232093,6079023,7578572,2690424
8YR0#AR#2021-02-17T20:28:39Z,8YR0,2021-02-17T20:28:39Z,AR,9312731,8453502,4701535,9216207,6882990,5915126,7829659,1580848,6348106,7237906
8WU9#AR#2021-02-17T05:01:06Z,8WU9,2021-02-17T05:01:06Z,AR,9083870,9687193,4813684,4567715,7225294,5133739,4641673,5087626,2255906,2219567
928H#AR#2021-02-17T05:53:37Z,928H,2021-02-17T05:53:37Z,AR,4090814,6428132,998014,5419783,3544597,7386654,2920051,3863006,3602715,9490951
924L#AR#2021-02-17T08:50:04Z,924L,2021-02-17T08:50:04Z,AR,806329,2321661,3317257,775903,9704248,2234624,5416453,8950518,3345475,7896114
921J#AR#2021-02-17T18:37:31Z,921J,2021-02-17T18:37:31Z,AR,7652058,4681587,8778996,1973206,4292915,9485051,1866593,9479560,2379625,9733205
912J#AR#2021-02-17T13:56:06Z,912J,2021-02-17T13:56:06Z,AR,3395159,9335024,5821757,7236809,5794402,4305013,7828412,1941192,3787199,1277330
91N1#AR#2021-02-17T22:16:29Z,91N1,2021-02-17T22:16:29Z,AR,9152417,5682620,3296393,1617663,4252601,3186453,952060,3984615,1024837,8120736
9261#AR#2021-02-17T20:58:21Z,9261,2021-02-17T20:58:21Z,AR,8613473,4307817,4002309,8190179,8024709,7454117,1420274,1128131,4809927,3715753
9148#AR#2021-02-17T08:51:17Z,9148,2021-02-17T08:51:17Z,AR,9247165,2089167,5696005,7632879,8356906,371789,5003120,9341667,9233098,5757868
91WX#AR#2021-02-17T10:12:19Z,91WX,2021-02-17T10:12:19Z,AR,4497383,2527674,7340800,7933319,9470459,9003075,153686,1429895,3879433,8600505
936O#AR#2021-02-17T11:55:44Z,936O,2021-02-17T11:55:44Z,AR,246775,2999145,592079,4656390,5714862,4489807,9426737,9182459,8573840,8108505
926G#AR#2021-02-17T05:11:30Z,926G,2021-02-17T05:11:30Z,AR,178659,7899386,3771567,6824884,521468,516215,8215014,3476492,6953929,6273755
91I0#AR#2021-02-17T07:39:15Z,91I0,2021-02-17T07:39:15Z,AR,3772092,4810318,6615274,7349491,1204138,7327358,39989,2268704,3953174,1762524
90IA#AR#2021-02-17T10:24:54Z,90IA,2021-02-17T10:24:54Z,AR,6640668,8600598,9354905,9071046,9607196,5987468,8208854,1934407,6321039,351461
8X3S#AR#2021-02-17T18:37:52Z,8X3S,2021-02-17T18:37:52Z,AR,2800677,8545729,9328863,1199863,1736875,9621077,8614877,466391,1544228,1015115
906I#AR#2021-02-17T01:47:06Z,906I,2021-02-17T01:47:06Z,AR,3031628,5341774,4550188,5481061,6899936,4825939,9424605,1584960,1906020,3984368
8WVB#AR#2021-02-17T15:03:00Z,8WVB,2021-02-17T15:03:00Z,AR,6799994,8950280,2753953,1616055,5263344,8257498,4164551,211184,9988506,8302445
8WQW#AR#2021-02-17T12:40:43Z,8WQW,2021-02-17T12:40:43Z,AR,356992,8694574,1513811,442958,4520753,2263860,8050690,6225817,623652,7736627
90J7#AR#2021-02-17T02:13:34Z,90J7,2021-02-17T02:13:34Z,AR,4564102,5900591,1120442,8714425,7355728,9196193,1117173,2378007,9338202,3671279
9109#AR#2021-02-17T01:33:08Z,9109,2021-02-17T01:33:08Z,AR,2075273,3139616,802610,4069280,9256878,6048960,6607001,5522194,6944462,2415303
8Z27#AR#2021-02-17T20:16:28Z,8Z27,2021-02-17T20:16:28Z,AR,8764059,6193429,4757254,2309117,2976730,5716855,1254967,3664243,9536645,8798087
8Y35#AR#2021-02-17T08:48:05Z,8Y35,2021-02-17T08:48:05Z,AR,2696608,6580714,8873261,4226276,197626,8025661,9526771,4055637,534394,3439116
90HN#AR#2021-02-17T22:23:25Z,90HN,2021-02-17T22:23:25Z,AR,8312485,362179,7260113,6550507,3713416,9591323,362405,4890233,3715833,9529731
90N3#AR#2021-02-17T08:42:44Z,90N3,2021-02-17T08:42:44Z,AR,4523954,4861351,4990591,4816468,3134040,4896817,3845934,2695220,6120777,6718356
9001#AR#2021-02-17T05:02:38Z,9001,2021-02-17T05:02:38Z,AR,982214,9005332,4404763,5333176,6405665,7211041,6044023,4656307,9662369,3044002
923B#AR#2021-02-17T20:03:00Z,923B,2021-02-17T20:03:00Z,AR,2322227,457470,8277398,8313426,9530372,2892493,2256441,8763340,6489237,1245962
92X4#AR#2021-02-17T04:13:18Z,92X4,2021-02-17T04:13:18Z,AR,6895245,6949189,9033930,7658829,8260277,4759430,4201474,8296311,152107,52498
915I#AR#2021-02-17T02:50:19Z,915I,2021-02-17T02:50:19Z,AR,7858368,8056880,7915943,3724224,4929536,6398480,2121222,7154859,5676919,9183028
92I3#AR#2021-02-17T01:03:44Z,92I3,2021-02-17T01:03:44Z,AR,1733443,6914953,4540285,955742,4363003,1110121,3110832,7534837,8563637,3838263
9226#AR#2021-02-17T04:21:33Z,9226,2021-02-17T04:21:33Z,AR,9136363,2356333,6768768,3727690,1730499,9423603,9120242,2217905,3510403,1631570
9337#AR#2021-02-17T23:07:00Z,9337,2021-02-17T23:07:00Z,AR,9754069,3913993,3586559,8191131,5748514,4221550,6426434,5636535,4491917,3268453
93000000#AR#2021-02-17T21:00:38Z,9.30E+07,2021-02-17T21:00:38Z,AR,8021732,3967715,2720724,6590397,5591825,9820702,7393695,4838749,5475512,2905706
915A#AR#2021-02-17T19:29:40Z,915A,2021-02-17T19:29:40Z,AR,542677,1759528,1840301,9049743,5166613,5410375,9240302,3003296,1728081,9933708
939R#AR#2021-02-17T01:40:29Z,939R,2021-02-17T01:40:29Z,AR,7566925,9728788,2728381,7293583,6020724,4765526,3928303,6149337,6294105,8177078
932W#AR#2021-02-17T03:37:24Z,932W,2021-02-17T03:37:24Z,AR,9578408,9555945,4182722,1330565,8452845,2354131,3193991,8888246,4153737,3211493
90CU#AR#2021-02-17T01:50:49Z,90CU,2021-02-17T01:50:49Z,AR,5342741,2063398,4395894,2283313,4640039,8962032,5834834,7796621,6364999,6971612
90WK#AR#2021-02-17T19:59:57Z,90WK,2021-02-17T19:59:57Z,AR,228130,9696556,3860717,3492752,6262745,1645407,2703080,2232809,2068512,1410343
8Y17#AR#2021-02-17T13:24:49Z,8Y17,2021-02-17T13:24:49Z,AR,8221779,8019034,7431828,1292016,5680407,8927589,6563150,3072949,4585906,2700803
8WO5#AR#2021-02-17T23:31:10Z,8WO5,2021-02-17T23:31:10Z,AR,3222136,2008159,8433448,6719836,5025493,2822494,2365805,3951546,4673513,9340096
8W10#AR#2021-02-17T16:29:38Z,8W10,2021-02-17T16:29:38Z,AR,8110744,2877578,4798659,1600879,626183,7800958,7462518,1897225,3378629,4358679
8ZYD#AR#2021-02-17T16:09:19Z,8ZYD,2021-02-17T16:09:19Z,AR,6701513,9061823,247721,9107736,7892528,995562,3377101,2048761,3789510,1194930
9021#AR#2021-02-17T16:40:53Z,9021,2021-02-17T16:40:53Z,AR,7214574,2220850,9239658,9470362,7832412,7156730,1630039,8104625,204661,6269263
8Y8K#AR#2021-02-17T14:53:14Z,8Y8K,2021-02-17T14:53:14Z,AR,5524722,7632263,7396089,3440499,7996103,1642410,4080158,3376251,4091475,3414578
8ZMM#AR#2021-02-17T23:52:17Z,8ZMM,2021-02-17T23:52:17Z,AR,7241980,132530,4806154,2111640,4867766,8435932,5806356,9450913,5900271,6186642
932R#AR#2021-02-17T01:26:33Z,932R,2021-02-17T01:26:33Z,AR,3520566,6199560,4582987,7156226,6486368,4965807,4829497,6927772,935009,6824240
921J#AR#2021-02-17T18:44:59Z,921J,2021-02-17T18:44:59Z,AR,7099488,9887189,849992,9205206,7384965,1657392,6839997,229608,2149045,1230910
9288#AR#2021-02-17T18:50:43Z,9288,2021-02-17T18:50:43Z,AR,5981234,937637,3362746,7821549,5978065,409750,5900005,8249800,8064803,8129879
9326#AR#2021-02-17T07:06:10Z,9326,2021-02-17T07:06:10Z,AR,5610914,6059735,6782929,5874623,152982,4226013,6922226,9368123,2610454,48492
932K#AR#2021-02-17T03:13:00Z,932K,2021-02-17T03:13:00Z,AR,4280568,1360138,5056279,7457442,5588580,981619,5428237,783265,606676,9089909
91J2#AR#2021-02-17T05:26:09Z,91J2,2021-02-17T05:26:09Z,AR,8023115,4767473,3937426,6900474,529364,1726413,781012,4574725,5290205,4309990
90RD#AR#2021-02-17T12:14:38Z,90RD,2021-02-17T12:14:38Z,AR,4417802,5063681,2957830,7550335,6931074,2643392,7484059,3677274,2129361,4626270
8Y20#AR#2021-02-17T19:41:56Z,8Y20,2021-02-17T19:41:56Z,AR,193565,1416989,1073396,4471495,8416074,7485730,4664510,1133105,4649906,4601427
8ZHQ#AR#2021-02-17T10:09:52Z,8ZHQ,2021-02-17T10:09:52Z,AR,3876640,6845976,5700057,3107776,8046403,2836469,5549758,7578751,9615755,1466027
8Y95#AR#2021-02-17T23:31:10Z,8Y95,2021-02-17T23:31:10Z,AR,1847087,2689391,8326656,4210436,3233936,9078487,4744778,9154870,8909378,4086209
8WP9#AR#2021-02-17T11:30:49Z,8WP9,2021-02-17T11:30:49Z,AR,4897895,1425973,4567538,1095181,4144696,4010951,6111113,8027047,3322937,5536797
8ZNE#AR#2021-02-17T07:08:27Z,8ZNE,2021-02-17T07:08:27Z,AR,7633791,2124371,2579376,2409721,8065038,8889219,1838190,7622401,1616145,4188933
8ZZG#AR#2021-02-17T03:38:28Z,8ZZG,2021-02-17T03:38:28Z,AR,3624108,5900032,4532640,4754164,2030868,3574797,5288113,3567222,8343799,5540352
9110#AR#2021-02-17T21:58:45Z,9110,2021-02-17T21:58:45Z,AR,9700021,6646359,3801766,2914051,7852386,2073169,3810577,1519517,6037433,5374608
8ZI6#AR#2021-02-17T17:21:35Z,8ZI6,2021-02-17T17:21:35Z,AR,7927229,2026046,1966453,3746764,3847922,4189568,4046317,6510555,8448629,2791260
8X5Z#AR#2021-02-17T17:02:00Z,8X5Z,2021-02-17T17:02:00Z,AR,9475265,9313937,1826145,3574892,2629656,8778102,820930,3072784,9787610,8333734
93DN#AR#2021-02-17T03:51:32Z,93DN,2021-02-17T03:51:32Z,AR,3318525,9269817,9589109,7667262,9001617,2541314,7002047,8205166,2717582,6982147
92UC#AR#2021-02-17T18:40:49Z,92UC,2021-02-17T18:40:49Z,AR,4700400,1856195,1350352,5807567,6702255,9578667,3376203,2904539,3761731,6624772
91LB#AR#2021-02-17T06:17:00Z,91LB,2021-02-17T06:17:00Z,AR,3381262,7604842,985332,2547927,5502667,9290709,6266071,689447,9063312,2903566
9178#AR#2021-02-17T10:51:26Z,9178,2021-02-17T10:51:26Z,AR,1888647,1677601,6169815,3734543,6278346,8683558,3653164,7592405,3246542,699667
9360#AR#2021-02-17T21:24:06Z,9360,2021-02-17T21:24:06Z,AR,4063922,7905992,3647792,2691618,8329434,6730156,1828937,7337380,8775218,8281401
933R#AR#2021-02-17T13:45:56Z,933R,2021-02-17T13:45:56Z,AR,4498525,1208821,9815150,6418412,9700202,6460560,3081265,1844949,2548990,4460872
91CP#AR#2021-02-17T18:27:21Z,91CP,2021-02-17T18:27:21Z,AR,3342167,266167,280412,2722541,6432715,4459928,5716186,5331442,9426481,3092041
933H#AR#2021-02-17T06:53:16Z,933H,2021-02-17T06:53:16Z,AR,1928981,3243330,6106188,3433481,2851206,9244115,1281546,23197,1756650,857931
932F#AR#2021-02-17T08:29:02Z,932F,2021-02-17T08:29:02Z,AR,785848,4567799,6571993,3967938,9592859,9997287,9952426,3766752,7217340,1594702
939D#AR#2021-02-17T05:59:03Z,939D,2021-02-17T05:59:03Z,AR,1472854,4715240,6837962,8180815,1232355,3848205,7950560,7835539,8851667,507989
915U#AR#2021-02-17T00:04:51Z,915U,2021-02-17T00:04:51Z,AR,5731613,7330257,382971,4200251,7269152,9375918,8832230,6745311,5401767,9186646
91I4#AR#2021-02-17T02:39:27Z,91I4,2021-02-17T02:39:27Z,AR,3047663,7468930,331071,4228726,8246770,7417147,1108524,6750765,3734989,2123878
91VK#AR#2021-02-17T22:36:47Z,91VK,2021-02-17T22:36:47Z,AR,9068373,1300617,6002570,6102938,7056794,3936497,111807,4928939,5044367,1224295
932K#AR#2021-02-17T09:44:24Z,932K,2021-02-17T09:44:24Z,AR,4531365,9175297,8002246,4667242,761226,4136251,3864999,4235093,4108802,4479348
923T#AR#2021-02-17T09:59:24Z,923T,2021-02-17T09:59:24Z,AR,5521943,7097964,4087721,9851510,2487569,7589313,6450419,2287175,1736343,3652223
925S#AR#2021-02-17T20:31:28Z,925S,2021-02-17T20:31:28Z,AR,1649358,8320480,7409089,1653141,6833690,1014770,3812112,2505471,6900977,3907716
9194#AR#2021-02-17T13:04:39Z,9194,2021-02-17T13:04:39Z,AR,7133035,2651352,3470073,7012435,4572244,7091105,6059828,4340183,9730249,3608527
92XR#AR#2021-02-17T18:32:39Z,92XR,2021-02-17T18:32:39Z,AR,3035552,5181509,9363110,4126578,1899939,7573437,9482156,7703093,4676590,4511450
93C8#AR#2021-02-17T13:18:58Z,93C8,2021-02-17T13:18:58Z,AR,7621072,7363093,1924540,8693025,5184658,8921335,7509270,6800304,3285779,8522741
8NL3#AR#2021-02-17T01:44:17Z,8NL3,2021-02-17T01:44:17Z,AR,2867587,1551129,5828893,3780525,9819325,3174931,6284478,1441404,3104399,9204456
8M6S#AR#2021-02-17T02:17:17Z,8M6S,2021-02-17T02:17:17Z,AR,7654825,2480921,8502748,604943,5278314,6871797,4156102,6047268,6546053,491838
8L98#AR#2021-02-17T01:01:15Z,8L98,2021-02-17T01:01:15Z,AR,1381904,3031326,3483886,4173125,119194,4355712,3146001,3231693,1525784,2442573
8N4X#AR#2021-02-17T08:50:05Z,8N4X,2021-02-17T08:50:05Z,AR,9006587,4673329,1910583,2429721,2223983,2042776,6065329,8571770,5220734,1688692
8O48#AR#2021-02-17T00:01:35Z,8O48,2021-02-17T00:01:35Z,AR,4094143,6475572,6932016,8494617,4681275,2580028,9015860,3090610,3405845,6118086
8NDH#AR#2021-02-17T20:28:27Z,8NDH,2021-02-17T20:28:27Z,AR,9183228,3631739,3842970,3172813,7737233,4009702,2123906,3150367,371417,9960228
8I45#AR#2021-02-17T20:15:26Z,8I45,2021-02-17T20:15:26Z,AR,5570337,356222,4672210,6485114,8646657,189943,7813075,7128347,7558845,3684611
8I7P#AR#2021-02-17T21:03:13Z,8I7P,2021-02-17T21:03:13Z,AR,7805510,5715847,9667314,2912560,5480395,1573793,5077800,5184441,7307646,6115959
8MWH#AR#2021-02-17T19:59:39Z,8MWH,2021-02-17T19:59:39Z,AR,8535768,646804,5727069,4456766,7698798,5202239,1751848,7102739,1199685,1967544
8NE6#AR#2021-02-17T18:38:22Z,8NE6,2021-02-17T18:38:22Z,AR,8801235,8326567,7726487,4217067,1867093,6916470,1739807,2958757,6870368,8979698
8NS2#AR#2021-02-17T21:05:40Z,8NS2,2021-02-17T21:05:40Z,AR,799549,814252,8736388,1973323,9004215,4538760,6879650,5101700,5045071,5325825
8J7P#AR#2021-02-17T12:13:05Z,8J7P,2021-02-17T12:13:05Z,AR,8419411,5286833,7663959,2588870,1684090,5942432,4997344,169440,7467450,608400
8MPR#AR#2021-02-17T11:57:19Z,8MPR,2021-02-17T11:57:19Z,AR,9428763,977335,6816710,1424323,6881653,3444744,5222972,1562382,9298598,9321544
8L0L#AR#2021-02-17T10:21:30Z,8L0L,2021-02-17T10:21:30Z,AR,3697317,6952920,5622513,8755599,6166039,6951259,3443757,8590949,9660608,215446
8K94#AR#2021-02-17T18:42:42Z,8K94,2021-02-17T18:42:42Z,AR,7301243,740069,4891647,4762231,8468181,3352580,4975151,7443665,9812395,1712750
8O3E#AR#2021-02-17T08:32:14Z,8O3E,2021-02-17T08:32:14Z,AR,8038970,7936762,8691997,7433218,5091833,5460070,3903264,2306536,6699510,2968606
8U89#AR#2021-02-17T16:31:47Z,8U89,2021-02-17T16:31:47Z,AR,676520,4043609,2220946,3986434,7744529,809034,2468592,2907713,830330,4873755
8R02#AR#2021-02-17T11:16:30Z,8R02,2021-02-17T11:16:30Z,AR,6123071,6038161,4421848,7331611,907098,515829,4548877,6777999,8947725,8213562
8RH9#AR#2021-02-17T17:14:26Z,8RH9,2021-02-17T17:14:26Z,AR,3419067,1181023,6955483,2917159,7380056,9222313,2299073,276549,8543344,8368392
8RSG#AR#2021-02-17T09:29:38Z,8RSG,2021-02-17T09:29:38Z,AR,315995,2500211,4947331,3980371,5539109,8762226,884188,2661659,689829,155032
8QT9#AR#2021-02-17T00:34:20Z,8QT9,2021-02-17T00:34:20Z,AR,7625729,7082284,3432151,9401686,4929947,5445114,5805817,8882545,4531992,8192887
8R51#AR#2021-02-17T23:52:45Z,8R51,2021-02-17T23:52:45Z,AR,8031859,3240505,1343677,2462040,4113991,9644873,4891900,8171508,3029817,2525150
8PUY#AR#2021-02-17T19:40:56Z,8PUY,2021-02-17T19:40:56Z,AR,1643959,4439585,4312225,7383915,8305905,1059883,1364074,4031055,6813593,125009
8TA8#AR#2021-02-17T16:31:53Z,8TA8,2021-02-17T16:31:53Z,AR,5778581,4226244,715119,7283842,5905466,9583370,3836408,3136597,8508090,4061213
8VOL#AR#2021-02-17T07:21:24Z,8VOL,2021-02-17T07:21:24Z,AR,3829088,4876320,4594506,1570951,9684880,5551066,753764,3347869,6142874,2063244
8V62#AR#2021-02-17T15:12:02Z,8V62,2021-02-17T15:12:02Z,AR,1604942,6288537,982782,4331412,7186956,7758426,9917270,5420841,2893882,374120
8S0Q#AR#2021-02-17T21:30:28Z,8S0Q,2021-02-17T21:30:28Z,AR,3499378,1506892,947175,4274603,1634831,2154339,5595662,4898301,7003983,233130
8TD0#AR#2021-02-17T05:56:41Z,8TD0,2021-02-17T05:56:41Z,AR,5766638,924185,7021434,8182728,617819,1945972,5752404,3758795,2872188,9293261
8OG2#AR#2021-02-17T12:38:50Z,8OG2,2021-02-17T12:38:50Z,AR,9728805,4876952,2181058,8423130,181741,8104935,8235487,728614,9946906,1805674
8RLQ#AR#2021-02-17T21:41:07Z,8RLQ,2021-02-17T21:41:07Z,AR,5889571,527766,8747011,7788006,6290156,5823865,7990245,6018073,7843608,2999656
8VEO#AR#2021-02-17T09:20:02Z,8VEO,2021-02-17T09:20:02Z,AR,5702487,441929,3030061,537323,4984193,27050,6624317,4174381,8758709,3509775
8LWP#AR#2021-02-17T23:53:31Z,8LWP,2021-02-17T23:53:31Z,AR,4777343,1062658,3901180,1150133,5914438,9951813,9795490,9986111,140563,991933
8JRF#AR#2021-02-17T20:26:29Z,8JRF,2021-02-17T20:26:29Z,AR,8967360,2068229,2310748,4570010,5594974,1085288,1550734,3209902,5275273,3226609
8IOK#AR#2021-02-17T16:25:52Z,8IOK,2021-02-17T16:25:52Z,AR,9029695,6139674,3364116,4277611,6944728,4640656,3978241,8511043,995666,7341089
8I4S#AR#2021-02-17T04:35:00Z,8I4S,2021-02-17T04:35:00Z,AR,8513398,5637404,9578096,2875482,9047916,8055292,7061001,6953691,3604141,2533526
8O7P#AR#2021-02-17T05:46:26Z,8O7P,2021-02-17T05:46:26Z,AR,2020325,5348904,8759455,6063198,8899329,2850507,2349796,3141415,5144227,5982743
8J83#AR#2021-02-17T09:21:35Z,8J83,2021-02-17T09:21:35Z,AR,6129412,7935800,8724059,6853461,4401628,83909,5883139,4097017,9500999,7231257
8J38#AR#2021-02-17T13:26:26Z,8J38,2021-02-17T13:26:26Z,AR,6138265,907836,1876299,3337361,98259,2244716,8288588,9620941,677503,209286
8LW1#AR#2021-02-17T03:46:57Z,8LW1,2021-02-17T03:46:57Z,AR,6872495,2424415,889241,9237501,5388699,3245273,1898294,8157361,8504017,5143179
8O69#AR#2021-02-17T22:28:04Z,8O69,2021-02-17T22:28:04Z,AR,9690484,2711916,2781483,5574793,115830,52845,2980858,7317895,7903115,1834806
8LR3#AR#2021-02-17T01:43:42Z,8LR3,2021-02-17T01:43:42Z,AR,1842298,9033088,4635697,4670204,1623844,4189316,9062629,9085004,5329122,101099
8LQ2#AR#2021-02-17T12:43:41Z,8LQ2,2021-02-17T12:43:41Z,AR,4143436,7651722,3558780,4465049,5521796,7709739,6929412,6106693,1576547,8286897
8JT4#AR#2021-02-17T11:44:19Z,8JT4,2021-02-17T11:44:19Z,AR,9476288,9146283,541242,281970,7816402,5300425,9791980,9828442,7400086,916300
8K1W#AR#2021-02-17T08:43:34Z,8K1W,2021-02-17T08:43:34Z,AR,3618276,9749446,6176607,9795480,203639,3410521,5597968,974796,2547425,7859942
8JJE#AR#2021-02-17T09:41:38Z,8JJE,2021-02-17T09:41:38Z,AR,4713031,491465,5333237,3130094,871926,1657730,1563176,4244265,4486177,2588784
8R2I#AR#2021-02-17T03:38:18Z,8R2I,2021-02-17T03:38:18Z,AR,7677896,4525961,5066836,2492936,4692118,1530521,8547538,4383970,3694648,9991224
8S06#AR#2021-02-17T21:10:47Z,8S06,2021-02-17T21:10:47Z,AR,8429124,8345967,6981146,2381122,7276631,2152513,9148049,2225103,2753643,1479453
8V79#AR#2021-02-17T07:01:41Z,8V79,2021-02-17T07:01:41Z,AR,6325581,844597,7356572,3179595,9964269,3488550,6694703,9347782,1347741,9626210
8US5#AR#2021-02-17T19:31:30Z,8US5,2021-02-17T19:31:30Z,AR,4881291,1342023,1049878,6855246,4853222,2729406,8781447,8058650,3226428,2353183
8UWY#AR#2021-02-17T00:10:02Z,8UWY,2021-02-17T00:10:02Z,AR,6873553,3427512,5673022,99424,3026181,1929291,5569848,8943852,3597043,6573286
8TO2#AR#2021-02-17T04:45:14Z,8TO2,2021-02-17T04:45:14Z,AR,4316263,1346363,6562759,5188210,4027793,3066904,7886987,8763548,1419143,4185016
8SAP#AR#2021-02-17T10:36:21Z,8SAP,2021-02-17T10:36:21Z,AR,7076579,8724691,1432559,1744756,9878298,1710122,1818742,7910017,6282264,3879971
8S2X#AR#2021-02-17T21:19:57Z,8S2X,2021-02-17T21:19:57Z,AR,4791688,4056597,5848379,9710973,3480002,3523198,1506454,4919669,6349760,3396917
8T6H#AR#2021-02-17T21:59:58Z,8T6H,2021-02-17T21:59:58Z,AR,3692399,1259303,3119326,2739873,5141307,5097904,6766707,7657472,3256920,6011170
8V3S#AR#2021-02-17T09:03:48Z,8V3S,2021-02-17T09:03:48Z,AR,7339562,5646776,6506783,9366461,5199961,7355267,9988929,5681821,5676615,7181733
8PC8#AR#2021-02-17T07:24:50Z,8PC8,2021-02-17T07:24:50Z,AR,5443574,3820274,6510440,3632616,9143453,5274159,6936102,9739018,4854145,7817275
8PJ3#AR#2021-02-17T16:46:41Z,8PJ3,2021-02-17T16:46:41Z,AR,3619153,2797426,4446360,3615977,3781989,772058,4234283,1136429,7795979,4046299
8OZS#AR#2021-02-17T07:57:47Z,8OZS,2021-02-17T07:57:47Z,AR,1419681,9344327,4938491,3760873,6957521,5902468,5095670,5814882,8183807,5011335
8U73#AR#2021-02-17T01:14:30Z,8U73,2021-02-17T01:14:30Z,AR,6009152,3981461,9833409,9645303,9321194,8438600,6421312,670430,8662083,3211579
8NS6#AR#2021-02-17T13:26:15Z,8NS6,2021-02-17T13:26:15Z,AR,1507417,1483267,8816397,9499010,8214024,9231560,311355,6579548,6096236,2026952
8O1O#AR#2021-02-17T13:31:50Z,8O1O,2021-02-17T13:31:50Z,AR,645537,787745,7516292,258973,9436727,3120115,1136306,3005227,6074685,1740327
8JY0#AR#2021-02-17T03:33:33Z,8JY0,2021-02-17T03:33:33Z,AR,2533639,3944486,5837925,3157019,6463497,1005814,5446787,56767,5303641,598623
8K5N#AR#2021-02-17T00:21:12Z,8K5N,2021-02-17T00:21:12Z,AR,2918047,9553986,9860643,2281531,7115110,7890027,5284271,3917313,6342818,6440392
